texto,label
"Estudiante participativo y atento en clase",1
"Demuestra motivación y esfuerzo constante",1
"Mantiene una actitud positiva y colaboradora",1
"Responsable con tareas y proyectos asignados",1
"Se integra bien con sus compañeros",1
"Muestra iniciativa y es proactivo",1
"Atención excelente y participación activa",1
"Colabora con el equipo y respeta normas",1
"Demuestra interés genuino por aprender",1
"Actitud ejemplar y comprometida",1
"Asistencia perfecta y puntualidad constante",1
"Plantea preguntas profundas y busca aclaraciones",1
"Toma apuntes organizados y sigue el hilo de la clase",1
"Ayuda espontáneamente a compañeros con dificultades",1
"Busca material adicional para complementar lo aprendido",1
"Muestra curiosidad intelectual y va más allá del mínimo",1
"Aplica conceptos aprendidos a situaciones nuevas",1
"Solicita retroalimentación para mejorar su desempeño",1
"Demuestra habilidades de liderazgo positivo en equipos",1
"Mantiene una comunicación respetuosa con profesores",1
"Organiza su tiempo eficientemente para cumplir plazos",1
"Reflexiona sobre sus errores y busca corregirlos",1
"Participa en actividades extracurriculares académicas",1
"Muestra perseverancia ante tareas complejas",1
"Trabaja de forma autónoma con excelentes resultados",1
"Expresa gratitud y reconocimiento hacia el aprendizaje",1
"Adapta sus estrategias según las necesidades del curso",1
"Demuestra empatía y apoyo emocional a compañeros",1
"Contribuye a crear un ambiente de clase productivo",1
"Muestra balance entre trabajo académico y bienestar",1
"Cumple con lo requerido sin destacar",1
"Participa ocasionalmente",1
"Actitud estable, sin comportamientos problemáticos",1
"Desempeño aceptable en la mayoría de las actividades",1
"Cumple requisitos mínimos sin sobresalir ni fallar",1
"Participa solo cuando se le solicita directamente",1
"Desempeño fluctuante entre diferentes asignaturas",1
"Requiere recordatorios ocasionales para cumplir tareas",1
"Interés variable dependiendo del tema específico",1
"Prefiere trabajar individualmente antes que en equipo",1
"Sigue instrucciones pero sin aportar ideas propias",1
"Evita conflictos pero también evita involucrarse",1
"Muestra timidez que limita su participación activa",1
"Rendimiento aceptable pero con potencial desaprovechado",1
"Completa trabajos justo en la fecha límite",1
"Asiste regularmente pero con participación limitada",1
"Respeta normas sin generar impacto positivo adicional",1
"Aprende mejor con estructura clara y guía constante",1
"Necesita validación frecuente para continuar trabajando",1
"Muestra capacidad excepcional para resolver problemas complejos",1
"Desarrolla conexiones significativas entre diferentes áreas del conocimiento",1
"Ejemplifica valores de solidaridad y compañerismo constantemente",1
"Demuestra pensamiento sistémico en análisis de situaciones académicas",1
"Actúa como mediador natural en conflictos entre compañeros",1
"Muestra madurez emocional sobresaliente para su nivel académico",1
"Integra tecnologías emergentes de manera innovadora en sus proyectos",1
"Desarrolla soluciones creativas a desafíos académicos no convencionales",1
"Promueve activamente la inclusión y diversidad en el aula",1
"Demuestra conciencia social en aplicación de conocimientos aprendidos",1
"Muestra capacidad para aprender de fracasos y transformarlos en oportunidades",1
"Ejerce liderazgo transformacional que inspira a sus compañeros",1
"Desarrolla proyectos con impacto positivo en la comunidad educativa",1
"Demuestra pensamiento crítico aplicado a problemas del mundo real",1
"Integra perspectivas interdisciplinarias en sus análisis académicos",1
"Fomenta ambiente de colaboración mutua y apoyo colectivo",1
"Muestra resiliencia académica ante desafíos particularmente difíciles",1
"Desarrolla habilidades metacognitivas para optimizar su propio aprendizaje",1
"Demuestra adaptabilidad excepcional a cambios en metodologías educativas",1
"Actúa como mentor natural para compañeros con dificultades",1
"Promueve prácticas de sostenibilidad dentro del entorno académico",1
"Muestra conciencia global en sus reflexiones académicas",1
"Desarrolla competencias interculturales en interacciones académicas",1
"Demuestra capacidad para trabajar efectivamente en equipos diversos",1
"Integra principios éticos sólidos en todas sus actividades académicas",1
"Fomenta comunicación asertiva y respetuosa en todos los contextos",1
"Muestra iniciativa para crear recursos de aprendizaje compartidos",1
"Desarrolla proyectos que integran arte, ciencia y humanidades",1
"Demuestra capacidad para anticipar consecuencias de decisiones académicas",1
"Actúa con integridad académica incluso en situaciones desafiantes",1
"Promueve cultura de feedback constructivo entre pares",1
"Muestra capacidad para gestionar proyectos académicos complejos",1
"Desarrolla presentaciones que comunican ideas complejas con claridad",1
"Demuestra habilidades de negociación en trabajos colaborativos",1
"Integra aprendizajes de experiencias extracurriculares en lo académico",1
"Fomenta espíritu investigativo entre sus compañeros",1
"Muestra capacidad para identificar oportunidades de mejora continua",1
"Desarrolla estrategias de aprendizaje personalizadas y efectivas",1
"Demuestra equilibrio excepcional entre vida académica y personal",1
"Actúa con proactividad para prevenir problemas académicos",1
"Promueve uso responsable de recursos tecnológicos educativos",1
"Muestra capacidad para desaprender y reaprender cuando es necesario",1
"Desarrolla competencias digitales avanzadas aplicadas al aprendizaje",1
"Demuestra pensamiento algorítmico en resolución de problemas",1
"Integra principios de diseño thinking en proyectos académicos",1
"Fomenta mentalidad de crecimiento en todo el grupo",1
"Muestra capacidad para trabajar bajo presión manteniendo calidad",1
"Desarrolla habilidades de facilitación en discusiones académicas",1
"Demuestra autoconocimiento preciso de sus fortalezas y áreas de mejora",1
"Actúa con empatía hacia las diferentes situaciones de sus compañeros",1
"Promueve transparencia en procesos de trabajo colaborativo",1
"Muestra capacidad para sintetizar información de múltiples fuentes",1
"Desarrolla argumentos sólidos basados en evidencia relevante",1
"Demuestra habilidades de storytelling en presentaciones académicas",1
"Integra metodologías ágiles en desarrollo de proyectos académicos",1
"Fomenta cultura de experimentación y aprendizaje por ensayo-error",1
"Muestra capacidad para visualizar datos de manera efectiva",1
"Desarrolla modelos conceptuales para explicar fenómenos complejos",1
"Demuestra pensamiento computacional aplicado a diversas disciplinas",1
"Actúa con humildad intelectual reconociendo límites de su conocimiento",1
"Promueve aprendizaje entre pares mediante tutorías espontáneas",1
"Muestra capacidad para traducir lenguaje técnico a términos accesibles",1
"Desarrolla prototipos funcionales como parte de su proceso de aprendizaje",1
"Demuestra habilidades de documentación exhaustiva en sus proyectos",1
"Integra principios de accesibilidad en materiales que comparte",1
"Fomenta prácticas de código abierto y conocimiento compartido",1
"Muestra capacidad para mantener enfoque en metas a largo plazo",1
"Desarrolla sistemas de organización que optimizan su productividad académica",1
"Demuestra habilidad para priorizar tareas según impacto y urgencia",1
"Actúa con visión estratégica en planificación de su trayectoria académica",1
"Promueve salud digital y equilibrio en uso de tecnologías educativas",1
"Muestra capacidad para desconectar y recargar energías adecuadamente",1
"Desarrolla rutinas de autocuidado que optimizan su rendimiento académico",1
"Demuestra consciencia sobre importancia del descanso para el aprendizaje",1
"Integra prácticas de mindfulness en su preparación para evaluaciones",1
"Fomenta ambiente de bienestar psicológico en el grupo de estudio",1
"Muestra capacidad para gestionar emociones en situaciones estresantes",1
"Desarrolla estrategias para mantener motivación intrínseca constante",1
"Demuestra gratitud hacia oportunidades de aprendizaje recibidas",1
"Actúa con generosidad compartiendo recursos y conocimientos",1
"Promueve reconocimiento mutuo de logros entre compañeros",1
"Muestra capacidad para celebrar éxitos ajenos genuinamente",1
"Desarrolla sentido de pertenencia institucional positivo",1
"Demuestra compromiso con valores y misión de la institución educativa",1
"Integra aprendizaje de servicio en sus actividades académicas",1
"Fomenta conexiones entre la academia y necesidades comunitarias",1
"Muestra capacidad para identificar problemas sociales relevantes",1
"Desarrolla proyectos con potencial de transformación social positiva",1
"Demuestra pensamiento prospectivo en análisis de tendencias educativas",1
"Actúa como agente de cambio positivo dentro del ecosistema educativo",1
"Promueve innovación educativa basada en evidencia y mejores prácticas",1
"Muestra capacidad para evaluar críticamente herramientas educativas nuevas",1
"Desarrolla competencias de ciudadanía global activa y responsable",1
"Demuestra comprensión de interdependencias globales en sus análisis",1
"Integra perspectivas de sostenibilidad en todos sus proyectos académicos",1
"Fomenta conciencia sobre cambio climático en discusiones académicas",1
"Muestra capacidad para diseñar soluciones ambientalmente sostenibles",1
"Desarrolla proyectos que integran dimensiones económicas, sociales y ambientales",1
"Demuestra pensamiento circular en diseño de soluciones académicas",1
